,id1,id2
0,298,2595
1,298,2604
2,298,2463
3,298,2452
4,298,2435
5,298,2386
6,298,2888
7,298,2830
8,298,2832
9,298,2853
10,298,2874
11,298,2766
12,298,2777
13,298,2671
14,298,2163
15,298,2201
16,298,2179
17,298,2221
18,298,2111
19,298,1786
20,298,1780
21,298,1842
22,298,1651
23,298,1712
24,298,1678
25,298,1496
26,298,1227
27,298,1167
28,298,841
29,298,847
30,298,844
31,298,936
32,298,792
33,298,816
34,298,815
35,298,737
36,298,758
37,298,779
38,298,692
39,298,709
40,298,700
41,298,604
42,298,560
43,298,553
44,298,594
45,298,513
46,298,499
47,298,443
48,298,410
49,298,389
50,298,359
51,298,315
52,298,34
53,298,47
54,298,88
55,298,119
56,298,156
57,298,188
58,298,212
59,298,258
60,298,288
61,298,304
62,298,297
