,id1,id2
0,1,422
1,2,826
2,2,1047
3,3,209
4,3,612
5,3,749
6,4,124
7,4,543
8,4,2102
9,5,6
10,5,64
11,5,74
12,5,106
13,5,118
14,5,124
15,5,324
16,5,351
17,5,793
18,5,909
19,5,941
20,5,1237
21,6,5
22,6,106
23,6,124
24,6,246
25,6,351
26,6,404
27,6,682
28,6,712
29,6,719
30,6,885
31,6,941
32,6,1235
33,6,1237
34,6,1470
35,6,1513
36,6,2102
37,7,148
38,7,214
39,7,236
40,7,254
41,7,295
42,7,395
43,7,923
44,7,993
45,7,1170
46,7,1180
47,7,1612
48,7,1831
49,7,2061
50,7,2179
51,7,2760
52,8,93
53,8,304
54,8,362
55,8,407
56,8,411
57,8,519
58,8,574
59,8,636
60,8,671
61,8,792
62,8,822
63,8,875
64,8,971
65,8,1786
66,8,1872
67,8,2003
68,8,2475
69,8,2590
70,9,299
71,9,893
72,9,975
73,9,1161
74,9,2465
75,9,2628
76,10,503
77,11,304
78,11,364
79,11,453
80,11,2475
81,11,2485
82,11,2700
83,11,2765
84,12,219
85,12,440
86,12,1055
87,13,873
88,13,1888
89,14,15
90,14,100
91,14,132
92,14,174
93,14,583
94,15,14
95,15,174
96,15,317
97,15,359
98,15,737
99,15,1136
100,15,1252
101,15,1930
102,16,32
103,16,63
104,16,87
105,16,586
106,16,598
107,16,1328
108,16,1522
109,16,2339
110,16,2823
111,17,1481
112,18,1201
113,19,24
114,19,43
115,19,154
116,19,156
117,19,611
118,19,751
119,19,806
120,19,952
121,19,958
122,19,1071
123,19,1137
124,19,1186
125,19,1187
126,19,1190
127,19,1342
128,19,1407
129,19,1564
130,19,1679
131,19,2289
132,19,2305
133,19,2331
134,19,2470
135,19,2490
136,19,2697
137,20,394
138,21,224
139,21,367
140,21,448
141,21,1884
142,22,205
143,22,341
144,22,346
145,22,385
146,22,422
147,22,561
148,22,833
149,22,872
150,22,1088
151,22,1483
152,22,1578
153,22,1597
154,22,1642
155,22,1949
156,22,2265
157,22,2530
158,22,2616
159,22,2788
160,23,108
161,23,112
162,24,19
163,24,870
164,24,1679
165,24,2529
166,25,1194
167,25,1598
168,25,1610
169,25,1636
170,26,99
171,26,409
172,26,756
173,26,960
174,26,1087
175,26,1287
176,26,1361
177,26,1610
178,26,1618
179,26,2753
180,27,646
181,27,1387
182,28,29
183,28,2140
184,28,2186
185,28,2428
186,28,2887
187,29,28
188,29,647
189,29,1810
190,30,1172
191,30,1909
192,30,2278
193,31,977
194,31,982
195,31,2118
196,31,2273
197,32,16
198,32,87
199,32,1054
200,32,1258
201,32,1391
202,33,34
203,34,33
204,34,155
205,34,212
206,34,298
207,34,453
208,34,517
209,34,553
210,34,608
211,34,758
212,34,1032
213,34,1669
214,34,1734
215,34,1736
216,34,2566
217,34,2589
218,34,2644
219,34,2698
220,35,37
221,35,434
222,35,440
223,35,508
224,35,913
225,36,37
226,36,207
227,36,913
228,37,35
229,37,36
230,37,397
231,37,434
232,37,508
233,37,859
234,37,1524
235,38,98
236,38,244
237,38,602
238,38,752
239,38,958
240,38,1044
241,38,1137
242,38,1594
243,38,1910
244,38,1911
245,38,2317
246,38,2355
247,39,40
248,39,41
249,39,138
250,40,39
251,41,39
252,41,138
253,42,403
254,42,435
255,42,783
256,43,19
257,44,155
258,44,959
259,45,275
260,46,302
261,47,268
262,47,298
263,47,443
264,47,1894
265,48,143
266,48,289
267,48,2565
268,49,1270
269,50,523
270,50,585
271,51,209
272,52,95
273,52,108
274,52,134
275,52,963
276,53,705
277,54,1604
278,55,1089
279,56,1771
280,57,58
281,57,91
282,57,205
283,57,327
284,57,461
285,57,743
286,57,857
287,57,901
288,57,935
289,57,1023
